	auteur	titel
0	Spater, George & Ian Parsons	"
                A  marriage of true minds - An intimate portrait of Leonard and Virginia Woolf            "
1	Meike Exner	"
                Androgyn. Eine Untersuchung uber den vollkommenen Menschen mit Bezug auf ""Orlando. Eine Biografie von Virginia Woolf                    
(meer info)

"
2	WOOLF, VIRGINIA	"
                De grote vorst. Het schaatsverhaal uit Orlando, een biografie door Virginia Woolf.            "
3	Woolf, Virginia	"
                Deel 1 t/ m 4 Letters of Virginia Woolf 1888-1912 / 1912-1922 /1923-1928 / 1929-1931            "
4	Woolf, Virginia	"
                Hoe lees je een boek - en andere essays over literatuur                    
(meer info)

"
5	Woolf, Virginia	"
                Jacobs  kamer            "
6	Virginia Woolf	"
                Jacob's Room [The Definitive Collected Edition]            "
7	Nigel Nicolson	"
                Long Life                    
(meer info)

"
8	Berg-Ehlers, Luise	"
                Mit Virginia Woolf durch England                    
(meer info)

"
9	Woolf, Virginia	"
                Mrs Dalloway - Orlando - Een kamer voor jezelf            "
10	Woolf, Virginia	"
                Mrs Dalloway - Orlando - Een kamer voor jezelf                    
(meer info)

"
11	Harpman, Jacqueline.	"
                Orlanda            "
12	Woolf, Virginia	"
                Orlando                    
(meer info)

"
13	Woolf, Virginia	"
                Orlando            "
14	Virginia Woolf	"
                Orlando                    
(meer info)

"
15	Woolf, Virginia	"
                Orlando                    
(meer info)

"
16	Virginia Woolf	"
                Orlando            "
17	Virginia Woolf	"
                Orlando                    
(meer info)

"
18	Woolf, Virginia	"
                Orlando                    
(meer info)

"
19	Virginia Woolf	"
                Orlando            "
20	Woolf, Virginia	"
                Orlando.,            "
21	Woolf, Virginia	"
                Orlando.,            "
22	Virginia Woolf	"
                Orlando            "
23	Woolf, Virginia	"
                Orlando            "
24	Woolf, Virginia	"
                Orlando                    
(meer info)

"
25	Woolf, Virginia	"
                Orlando            "
26	Virginia Woolf, Michael H. (Merton College, University of Oxford) Whitworth	"
                Orlando                    
(meer info)

"
27	Reichert, Klaus, Woolf, Virginia	"
                Orlando                    
(meer info)

"
28	Virginia Woolf	"
                Orlando            "
29	Woolf, Virginia / ed. by J H Stape	"
                Orlando : a biography            "
30	Virginia Woolf	"
                Orlando - A Biography                    
(meer info)

"
31	Woolf, Virginia, Blyth, Ian, Raitt, Suzanne	"
                Orlando - A Biography                    
(meer info)

"
32	Woolf, Virginia	"
                Orlando - A Biography            "
33	WOOLF, VIRGINIA	"
                ORLANDO = A BIOGRAPHY  =            "
34	Woolf, Virginia.	"
                Orlando : biografie.            "
35	Woolf, Virginia, Walz, Melanie	"
                Orlando - Eine Biographie                    
(meer info)

"
36	Woolf, Virginia, Reichert, Klaus, Walitzek, Brigitte	"
                Orlando - Eine Biographie                    
(meer info)

"
37	Woolf, Virginia	"
                Orlando / Mrs. Dalloway / To the lighthouse            "
38	Virginia Woolf	"
                Orlando a biography            "
39	Woolf, Virginia	"
                Orlando, a Biography                    
(meer info)

"
40	Virginia Woolf (ed.: J.H. Stape	"
                Orlando, A Biography [The Shakespeare Head Press Edition]            "
41	Virginia Woolf, Gerardine Franken	"
                Orlando biografie                    
(meer info)

"
42	Virginia Woolf, Gerardine Franken, James Naremore	"
                Orlando biografie                    
(meer info)

"
43	Virginia Woolf	"
                Orlando Biografie            "
44	Woolf, Virginia	"
                Orlando. Eine Biographie.,            "
45	Woolf, Virginia	"
                Orlando. Eine Biographie.,            "
46	Woolf, Virginia	"
                Orlando (Engelstalig)            "
47	Virginia Woolf	"
                Orlando (Vintage Classics Woolf Series)                    
(meer info)

"
48	Woolf, Virginia	"
                Orlando [Wordsworth Classics]            "
49	Andrea Lawlor	"
                Paul Takes the Form of A Mortal Girl                    
(meer info)

"
50	Cervetti, Nancy	"
                Scenes of Reading - Transforming Romance in BrontÃ«, Eliot, and Woolf                    
(meer info)

"
51	Earl G. Ingersoll	"
                Screening Woolf - Virginia Woolf on/and/in Film                    
(meer info)

"
52	Earl G. Ingersoll	"
                Screening Woolf - Virginia Woolf on/and/in Film                    
(meer info)

"
53	Elsa Hogberg, Amy Bromley	"
                Sentencing Orlando - Virginia Woolf and the Morphology of the Modernist Sentence                    
(meer info)

"
54	Woolf, Virginia	"
                The classic works                    
(meer info)

"
55	Woolf, Virginia	"
                The Classic Works - A Room of One's Own, Orlando, Jacob's Room, Mrs Dalloway and The Years            "
56	Woolf, Virginia	"
                The Classic Works: A Room of One's Own, Orlando, Jacob's Room, Mrs Dalloway and The Years.                    
(meer info)

"
57	WOOLF,VIRGINIA	"
                TO THE LIGHTHOUSE / ORLANDO            "
58	Woolf, Virginia	"
                Virginia  Woolf. A writer's life                    
(meer info)

"
59	Lehmann, John	"
                Virginia Woolf            "
60	WOOLF Viriginia	"
                Virginia Woolf, The Classic Works: A Room of One's Own, Orlando, Jacob's Room, Mrs. Dalloway, The Years            "
61		"
                WOOLF, VIRGINIA - Orlando - uitgeverij De Bezige Bij, 331 blz.            "
